Overall CEFR rating,Learner text,Filename
C1,"Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt. Das ist ein Beispiel für einen C1-Satz, der ein spezifisches Thema behandelt.",German_C1_Text_26.txt
B2,"Ich begrüße alle, der sich für das Thema „Ländern und ihren Traditionen"" interessiert. Ich möchte auch meine Meinung dazu sagen. Seit zehn Jahren lebe ich im Europäischen Raum. Schweiz bedeutet für mich das Herz des Europas. Da gibt es viel verschiedenen Kulturen, die zusammen verbunden sind. Eineseits es ist interessant, in dieser Umgebung zu leben. Gleichzeitig, man muss richtig lernen, wie er mit Einwohnern des Landes zusammen eine Harmonie zu finden kann.",1031_0001950.txt
A2,"Sehr geehrt Frau Schmidt, ich bin ein paar Tage nicht zu Hause.",1091_0000062.txt
B1,Liebe Julia,1091_0000002.txt
B2,"Meine Meinung nach ist sinnlos, auch in Ausland die Traditionen seines Heimatlandes fortzusetzen, man sollte sich an der Kultur des Gastlandes orientieren. weil man nicht genau weißt, ob was in seinem Heimatland Konventionell ist, wird in Ausland mit der Finger gezeichnet. zum Beispiel. Ich komme aus Mexiko und in meinen Land duzen die Leute mit einander. Man muss nicht daran achten, ob der Gesprächpartner alter oder Junger ist, oder ob er eine höheste Position besetzt. man kann ohne „das Siezen"" und Mit hilfe der Worten Respekt zeigen. Man brauch kein Ritual um miteinander zu Unterhalten. Im Gegenteil sind die Deutschen sehr zeremoniös, sie müssen immer miteinander Siezen, Wenn Sie einen dichten Kontakt miteinander haben. Sie mussen immer formell bleiben um ihre Respekt zu zeigen. Als Ich nach Deutschland gekommen bin. Ich dachte, dass es keine Probleme gab, dass ich alle Leute duze. es war mir egal und einfach, weil ich nicht die Deutsche Kultur wusste. aber in weniger Zeit habe Ich angefangen, Probleme zu haben. weil die Leute geglaubt hat dass ich keine Respekt von ihnen hatte. Deswegen habe ich meine Meinung verändert, und ich habe angefangen die Leute zu ziezen. So, meine Vorschlag ist, wenn du nach Roma gehst, mach wie die Römern, oder sollte ich sagen. Wenn Sie nach Roma gehen, machen Sie bitte Wie die Römern.",1031_0002083.txt
A1,Guten Tag! Ich heiße Markus. Ich bin dreißig Jahre alt. Ich arbeite als Lehrer.,Text_43.txt
A2,"Stadt X, 24.02.2012",1061_0120323.txt
A2,12.03.12,1061_0120856.txt
A1,"Hallo, mein Name ist Anna. Ich bin zwanzig Jahre alt. Ich komme aus Deutschland.",Text_50.txt
C2,Die deutsche Sprache bietet eine faszinierende Vielfalt an Ausdrucksmöglichkeiten.,German_c2_004.txt
