Test language,CEFR level of test,Mother tongue,Overall CEFR rating,Grammatical accuracy,Orthography,Vocabulary range,Vocabulary control,Coherence/Cohesion,Sociolinguistic appropriateness,Learner text,Filename
German,C1,Russian,B2,B2,C1,C1,C1,C1,B2,"Ich begrüße alle, der sich für das Thema „Ländern und ihren Traditionen"" interessiert. Ich möchte auch meine Meinung dazu sagen. Seit zehn Jahren lebe ich im Europäischen Raum. Schweiz bedeutet für mich das Herz des Europas. Da gibt es viel verschiedenen Kulturen, die zusammen verbunden sind. Eineseits es ist interessant, in dieser Umgebung zu leben. Gleichzeitig, man muss richtig lernen, wie er mit Einwohnern des Landes zusammen eine Harmonie zu finden kann.",1031_0001950.txt
German,A2,Russian,A2,B1,B2,B1,B1,B2,B2,"Sehr geehrt Frau Schmidt, ich bin ein paar Tage nicht zu Hause.",1091_0000062.txt
German,A2,not reported,B1,B1,B2,B1,B1,B1,B1,Liebe Julia,1091_0000002.txt
German,C1,Spanish,B2,B1,B2,B2,B2,B2,B2,"Meine Meinung nach ist sinnlos, auch in Ausland die Traditionen seines Heimatlandes fortzusetzen, man sollte sich an der Kultur des Gastlandes orientieren. weil man nicht genau weißt, ob was in seinem Heimatland Konventionell ist, wird in Ausland mit der Finger gezeichnet. zum Beispiel. Ich komme aus Mexiko und in meinen Land duzen die Leute mit einander. Man muss nicht daran achten, ob der Gesprächpartner alter oder Junger ist, oder ob er eine höheste Position besetzt. man kann ohne „das Siezen"" und Mit hilfe der Worten Respekt zeigen. Man brauch kein Ritual um miteinander zu Unterhalten. Im Gegenteil sind die Deutschen sehr zeremoniös, sie müssen immer miteinander Siezen, Wenn Sie einen dichten Kontakt miteinander haben. Sie mussen immer formell bleiben um ihre Respekt zu zeigen. Als Ich nach Deutschland gekommen bin. Ich dachte, dass es keine Probleme gab, dass ich alle Leute duze. es war mir egal und einfach, weil ich nicht die Deutsche Kultur wusste. aber in weniger Zeit habe Ich angefangen, Probleme zu haben. weil die Leute geglaubt hat dass ich keine Respekt von ihnen hatte. Deswegen habe ich meine Meinung verändert, und ich habe angefangen die Leute zu ziezen. So, meine Vorschlag ist, wenn du nach Roma gehst, mach wie die Römern, oder sollte ich sagen. Wenn Sie nach Roma gehen, machen Sie bitte Wie die Römern.",1031_0002083.txt
German,B1,Portuguese,A2,A2,B1,B1,A2,A2,A2,"Stadt X, 24.02.2012",1061_0120323.txt
German,B1,not reported,A2,A2,A2,B1,B1,B1,B1,12.03.12,1061_0120856.txt
German,C1,other,B2,B2,C1,C1,B2,C1,C1,"Für Leute auf der Welt ist es schon eindeutig, dass Englisch, Französisch und Spanisch am meisten gesprochen werden. Deswegen möchten Menschen diese Sprachen lernen.",1031_0003189.txt
German,B1,not reported,B1,B2,B2,B1,B2,B1,B2,"Stadt X, 08.03.2012",1061_0120485.txt
German,C1,Turkish,C1,C1,C1,C1,C1,C1,C1,AN DER SPITZE DEUTSCH,1031_0003127.txt
German,A1,not reported,A2,A2,B1,B1,A2,B1,A2,"Liebe Ingo,",1071_0024705.txt
